,,forecast,forecast,lower_90,lower_90,upper_90,upper_90
indicator,,Access,Usage,Access,Usage,Access,Usage
year,scenario,,,,,,
2025,Baseline,55.44,22.8,45.41,19.72,65.47,25.88
2025,Optimistic,57.36,25.68,46.98,22.21,67.74,29.15
2025,Pessimistic,55.92,23.52,45.8,20.34,66.04,26.7
2026,Baseline,59.75,25.2,48.94,21.8,70.56,28.6
2026,Optimistic,64.23,31.92,52.6,27.61,75.85,36.23
2026,Pessimistic,60.87,26.88,49.85,23.25,71.88,30.51
2027,Baseline,64.16,28.5,52.54,24.65,75.77,32.35
2027,Optimistic,71.36,40.5,58.44,35.03,84.27,45.97
2027,Pessimistic,65.96,31.5,54.02,27.25,77.89,35.75
